titleid,rating,rate_number
tt0000014,7.1,4094
tt0000211,7.5,3030
tt0000417,8.2,39879
tt0000439,7.3,15599
tt0001223,6.4,3321
tt0004707,6.3,3158
tt0004972,6.4,20833
tt0006206,7.3,3924
tt0006864,7.8,13083
tt0007613,7.4,3264
tt0007880,7.5,4419
tt0008133,7.7,6777
tt0009018,7.8,6664
tt0009611,7.3,5377
tt0009968,7.4,8752
tt0010323,8.1,51349
tt0011130,7,4425
tt0011237,7.2,5909
tt0011508,7.6,3392
tt0011541,8.2,6317
tt0011656,7.8,3215
tt0011841,7.5,4724
tt0012224,7.7,3322
tt0012349,8.3,101104
tt0012364,8.1,9244
tt0012494,7.7,4672
tt0012532,7.4,4461
tt0012570,7.5,3529
tt0013025,7.6,5262
tt0013086,7.9,6808
tt0013257,7.7,10636
tt0013427,7.6,9878
tt0013442,7.9,82457
tt0013486,7.6,3244
tt0014142,7.3,4429
tt0014341,7.8,9330
tt0014358,7.4,3872
tt0014429,8.1,16748
tt0014538,7.1,3723
tt0014624,7,4413
tt0014872,7.4,3200
tt0015064,8.1,11314
tt0015163,7.7,8355
tt0015174,8,3643
tt0015175,8.1,4785
tt0015324,8.2,34873
tt0015361,7.6,6403
tt0015400,7.8,5126
tt0015532,7.8,4847
tt0015624,7.9,5829
tt0015648,8,49048
tt0015841,7.5,4654
tt0015863,7.2,3482
tt0015864,8.2,91622
tt0015881,8.1,8408
tt0016039,7,4296
tt0016220,7.6,15410
tt0016332,7.9,8379
tt0016641,7.8,6881
tt0016847,8.1,12959
tt0016884,7.7,3751
tt0017075,7.3,9223
tt0017136,8.3,147824
tt0017668,7.6,3570
tt0017765,7.1,4023
tt0017925,8.1,73457
tt0018037,6.5,8346
tt0018051,7.7,3525
tt0018192,8.1,6363
tt0018217,7.4,6425
tt0018455,8.1,44172
tt0018528,7.8,6638
tt0018578,7.5,10359
tt0018737,7.9,9070
tt0018742,8.1,9434
tt0018770,7.3,3115
tt0018773,8.2,23520
tt0018806,8.1,6929
tt0018839,7.5,3574
tt0019071,8,3014
tt0019130,7.7,5115
tt0019254,8.2,42011
tt0019379,7.6,3340
tt0019421,7.9,11957
tt0019422,7.6,6316
tt0019585,8.1,5631
tt0019702,7,8863
tt0019729,5.7,5923
tt0019760,8.4,20286
tt0019777,7,6588
tt0020414,7.7,3819
tt0020475,7.9,3764
tt0020530,7.7,42836
tt0020629,8,54168
tt0020640,7.6,12436
tt0020691,7.2,3120
tt0020697,7.7,12675
tt0020960,7.4,4522
tt0021079,7.3,10993
tt0021156,7.1,5067
tt0021165,6.4,5196
tt0021331,7.4,5260
tt0021571,7.3,4403
tt0021576,7.5,3484
tt0021577,7.3,11721
tt0021739,7.6,3339
tt0021746,5.9,4894
tt0021749,8.5,152037
tt0021814,7.5,42355
tt0021815,7.2,3732
tt0021884,7.8,59998
tt0022074,7.2,3032
tt0022100,8.3,131541
tt0022150,7.4,3001
tt0022158,7.5,10621
tt0022208,7.1,3020
tt0022286,7.7,16380
tt0022458,7.5,4507
tt0022599,7.5,3800
tt0022698,7.1,3946
tt0022718,7.4,4789
tt0022835,7.6,11650
tt0022879,6.5,4577
tt0022913,7.9,39196
tt0022958,7.4,16012
tt0023027,7.6,11047
tt0023037,7.4,4716
tt0023042,8.2,10763
tt0023158,7.6,3354
tt0023196,6.6,3077
tt0023238,7.2,9414
tt0023245,7.1,21297
tt0023249,6.4,3336
tt0023251,8,6258
tt0023285,5.8,4178
tt0023293,7.1,8084
tt0023305,7.5,3109
tt0023382,7.3,3468
tt0023395,5.8,3734
tt0023427,7.8,23358
tt0023458,7.3,6743
tt0023551,7,6581
tt0023563,8,10508
tt0023622,8,11925
tt0023634,8,4408
tt0023649,7.6,14251
tt0023694,6.4,8518
tt0023775,7.6,5699
tt0023814,7,3229
tt0023876,5.9,4088
tt0023940,7.5,5183
tt0023948,7.6,7064
tt0023969,7.8,52962
tt0024025,6.6,3113
tt0024028,7.6,4324
tt0024034,7.4,9876
tt0024069,7.8,6718
tt0024184,7.7,26895
tt0024188,7.4,7512
tt0024216,7.9,74787
tt0024240,7.4,3508
tt0024264,7.2,5674
tt0024368,6.8,4234
tt0024473,7.1,3388
tt0024481,7.7,6703
tt0024548,6.4,5027
tt0024593,5.7,3586
tt0024601,7.6,7238
tt0024660,7.5,4518
tt0024803,7.3,7095
tt0024844,7.8,13277
tt0024852,7.3,5593
tt0024894,7,8550
tt0024991,6.8,3139
tt0025164,7.5,6375
tt0025301,7.5,3672
tt0025316,8.1,86480
tt0025318,7.2,4593
tt0025452,6.8,15578
tt0025464,7.2,3284
tt0025586,7.2,5576
tt0025746,7.6,5298
tt0025748,7.4,3576
tt0025862,7.3,4505
tt0025878,8,24580
tt0025913,7.3,13992
tt0025919,7.4,5436
tt0026029,7.7,47666
tt0026056,6.9,3487
tt0026071,7,4660
tt0026138,7.8,40058
tt0026174,7.7,12038
tt0026266,7.4,3488
tt0026393,7.2,3265
tt0026529,7.5,5248
tt0026663,7.3,4054
tt0026685,6.3,3977
tt0026725,7.7,3125
tt0026752,7.7,19298
tt0026778,7.9,28970
tt0026912,7,4162
tt0026955,7.6,3433
tt0027067,6.2,3295
tt0027075,7.8,4782
tt0027125,7.8,16021
tt0027194,6.4,4399
tt0027260,7.7,8768
tt0027438,7.1,4181
tt0027521,7,3393
tt0027532,7.8,7407
